semester,accuracy,precision,recall,f1_score,cv_accuracy,cv_accuracy_std,cv_precision,cv_recall,cv_f1,dur,model_path
1,0.815,0.8063,0.815,0.805,0.8142,0.0052,0.8087,0.8142,0.809,0.19,model_kedinasan_feature_selection_rf/rf_sem_1.pkl
2,0.834,0.8291,0.834,0.8297,0.8314,0.0094,0.8257,0.8314,0.8259,0.31,model_kedinasan_feature_selection_rf/rf_sem_2.pkl
3,0.854,0.8482,0.854,0.8489,0.8489,0.0074,0.8433,0.8489,0.844,0.4,model_kedinasan_feature_selection_rf/rf_sem_3.pkl
4,0.8618,0.8568,0.8618,0.8582,0.8643,0.0047,0.8579,0.8643,0.8589,0.49,model_kedinasan_feature_selection_rf/rf_sem_4.pkl
5,0.8806,0.8749,0.8806,0.8764,0.8751,0.0063,0.8693,0.8751,0.8704,0.58,model_kedinasan_feature_selection_rf/rf_sem_5.pkl
6,0.8884,0.8844,0.8884,0.8858,0.8896,0.0033,0.8838,0.8896,0.8851,0.67,model_kedinasan_feature_selection_rf/rf_sem_6.pkl
7,0.8948,0.8917,0.8948,0.8924,0.8928,0.0014,0.8877,0.8928,0.8888,0.71,model_kedinasan_feature_selection_rf/rf_sem_7.pkl
8,0.9006,0.8969,0.9006,0.8972,0.8973,0.0038,0.8926,0.8973,0.8934,0.72,model_kedinasan_feature_selection_rf/rf_sem_8.pkl
9,0.9014,0.8983,0.9014,0.8987,0.896,0.0073,0.8919,0.896,0.8923,0.75,model_kedinasan_feature_selection_rf/rf_sem_9.pkl
10,0.8995,0.896,0.8995,0.8966,0.8976,0.0038,0.894,0.8976,0.8941,0.74,model_kedinasan_feature_selection_rf/rf_sem_10.pkl
11,0.9018,0.898,0.9018,0.8981,0.895,0.0054,0.8911,0.895,0.8913,0.72,model_kedinasan_feature_selection_rf/rf_sem_11.pkl
12,0.9,0.8967,0.9,0.8969,0.8974,0.0049,0.8941,0.8974,0.8942,0.74,model_kedinasan_feature_selection_rf/rf_sem_12.pkl
