,0,1,2,3,4,5,6,7
1,0.466,0.37275064,0.98668885,0.9481865,0.5052509,0.19642857,0.61290324,0.64686096
2,0.59880954,0.60704225,0.9886015,0.9829193,0.745625,0.21061946,0.5951116,0.7197496
3,0.6917923,0.60451424,0.984382,0.9753846,0.7504123,0.46984926,0.5916733,0.5910064
4,0.56455696,0.7196621,0.97572404,0.9794521,0.8196806,0.4498106,0.63440156,0.70328593
5,0.747578,0.71815383,0.9596668,0.95858383,0.8314659,0.44913927,0.6745335,0.5896488
6,0.614758,0.76689726,0.9765694,0.99628055,0.74340427,0.5820707,0.68989384,0.69248503
7,0.6691143,0.64552057,0.9749894,0.98557466,0.7761717,0.61805946,0.76979405,0.6657825
8,0.702307,0.75474197,0.9760662,0.9795009,0.84494776,0.62084824,0.6458427,0.6668161
9,0.7226891,0.7670429,0.9784521,0.9964804,0.7561396,0.7324871,0.6435818,0.64506036
10,0.6743179,0.8130925,0.9692439,0.99955475,0.7707146,0.62366545,0.69227356,0.645073
11,0.6903838,0.7613843,0.97185576,0.9950717,0.7627485,0.708764,0.6979574,0.61750335
12,0.8100044,0.7279711,0.97903293,0.9875941,0.7678883,0.64234555,0.6976744,0.5851721
